Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
CrawlerDynamicLearning,7.138,5343.210,45.548,23898,67.395
CrawlerDynamicLearning,7.223,5397.875,45.452,24024,nan
CrawlerDynamicLearning,7.169,5452.646,45.486,23964,78.656
CrawlerDynamicLearning,7.155,5507.253,45.689,24024,nan
CrawlerDynamicLearning,7.148,5561.097,45.156,24019,64.617
CrawlerDynamicLearning,7.187,5616.031,45.804,23229,105.016
CrawlerDynamicLearning,7.133,5670.950,46.026,24024,nan
CrawlerDynamicLearning,7.152,5725.834,45.915,23964,159.547
CrawlerDynamicLearning,7.145,5781.313,46.310,24024,nan
CrawlerDynamicLearning,7.182,5836.486,46.173,24019,191.086
CrawlerDynamicLearning,7.119,5891.926,46.265,23969,171.125
CrawlerDynamicLearning,7.155,5946.864,46.267,24024,nan
CrawlerDynamicLearning,7.143,6002.307,46.518,23964,154.473
CrawlerDynamicLearning,7.163,6057.309,45.825,23698,130.553
CrawlerDynamicLearning,7.121,6112.135,45.681,23042,47.019
CrawlerDynamicLearning,7.178,6167.252,45.947,23974,94.751
CrawlerDynamicLearning,7.109,6222.514,46.096,23836,117.283
CrawlerDynamicLearning,7.174,6276.848,45.512,23979,195.713
CrawlerDynamicLearning,7.158,6332.044,46.160,24019,103.275
CrawlerDynamicLearning,7.130,6386.539,45.353,24014,127.931
CrawlerDynamicLearning,7.152,6441.699,46.043,23979,194.294
CrawlerDynamicLearning,7.777,6497.829,46.301,24588,170.264
CrawlerDynamicLearning,7.164,6552.854,45.844,23989,228.103
CrawlerDynamicLearning,7.175,6608.104,46.048,24093,220.311
CrawlerDynamicLearning,7.111,6662.889,45.659,22292,170.666
CrawlerDynamicLearning,7.152,6717.050,45.020,24084,168.130
CrawlerDynamicLearning,6.509,6767.966,42.719,20617,126.438
CrawlerDynamicLearning,6.508,6818.923,42.689,20829,129.447
CrawlerDynamicLearning,6.494,6865.752,38.334,20258,167.479
CrawlerDynamicLearning,6.530,6911.802,37.841,21507,149.052
CrawlerDynamicLearning,6.505,6962.298,42.111,20807,116.190
CrawlerDynamicLearning,6.528,7010.044,39.479,21001,199.647
CrawlerDynamicLearning,6.538,7057.753,39.445,21149,175.444
CrawlerDynamicLearning,6.531,7103.389,37.474,20876,171.004
CrawlerDynamicLearning,6.519,7152.094,40.482,20796,229.983
CrawlerDynamicLearning,6.508,7204.100,43.568,20841,212.013
CrawlerDynamicLearning,6.484,7252.591,40.369,20247,171.454
CrawlerDynamicLearning,6.521,7296.820,36.086,21001,192.650
CrawlerDynamicLearning,6.509,7344.180,39.311,20764,156.799
CrawlerDynamicLearning,6.517,7395.407,42.809,20882,222.488
CrawlerDynamicLearning,6.537,7447.818,43.970,21180,241.672
CrawlerDynamicLearning,6.521,7491.701,35.798,20401,187.650
CrawlerDynamicLearning,6.531,7541.040,40.983,20987,281.742
CrawlerDynamicLearning,6.517,7590.414,41.050,20502,211.609
CrawlerDynamicLearning,6.504,7635.827,37.275,20996,253.225
CrawlerDynamicLearning,6.500,7687.421,43.183,20526,237.830
CrawlerDynamicLearning,6.518,7734.321,38.843,20446,241.105
CrawlerDynamicLearning,6.517,7783.304,40.714,21013,198.212
CrawlerDynamicLearning,6.516,7830.732,39.284,21001,257.668
CrawlerDynamicLearning,6.510,7877.340,38.410,20847,254.215
CrawlerDynamicLearning,6.523,7925.118,39.519,20764,276.500
CrawlerDynamicLearning,6.557,7976.346,42.829,21001,279.469
CrawlerDynamicLearning,6.498,8025.696,41.036,20996,244.410
CrawlerDynamicLearning,6.563,8072.699,38.825,21001,196.295
CrawlerDynamicLearning,6.518,8123.411,42.304,20691,214.871
CrawlerDynamicLearning,6.509,8169.433,37.877,20423,221.680
CrawlerDynamicLearning,6.517,8220.348,42.219,20920,173.806
CrawlerDynamicLearning,6.526,8267.679,39.222,20519,273.227
CrawlerDynamicLearning,6.515,8319.589,43.578,20500,235.668
CrawlerDynamicLearning,6.555,8375.216,47.081,20854,214.466
CrawlerDynamicLearning,6.493,8427.843,44.284,21226,327.461
CrawlerDynamicLearning,6.526,8477.832,41.704,20303,187.885
CrawlerDynamicLearning,6.480,8518.502,32.869,20503,267.043
CrawlerDynamicLearning,6.509,8566.080,39.377,20528,249.329
CrawlerDynamicLearning,6.494,8612.764,38.583,21011,373.368
CrawlerDynamicLearning,6.514,8667.488,46.287,20994,204.578
CrawlerDynamicLearning,6.488,8719.437,43.590,20880,245.005
CrawlerDynamicLearning,6.521,8772.131,44.291,20764,274.634
CrawlerDynamicLearning,6.501,8823.549,43.075,20252,259.481
CrawlerDynamicLearning,6.491,8877.633,45.804,21127,323.450
CrawlerDynamicLearning,6.507,8926.034,40.223,21011,277.104
CrawlerDynamicLearning,6.509,8979.688,45.319,20991,224.104
CrawlerDynamicLearning,6.532,9033.582,45.422,20968,223.102
CrawlerDynamicLearning,6.510,9087.145,45.140,21016,276.488
CrawlerDynamicLearning,6.498,9132.613,37.398,20247,303.720
CrawlerDynamicLearning,6.516,9185.947,44.897,21174,262.302
CrawlerDynamicLearning,6.516,9242.533,48.486,21016,341.959
CrawlerDynamicLearning,6.506,9295.979,45.027,20816,335.323
CrawlerDynamicLearning,6.550,9343.265,39.083,20384,242.514
CrawlerDynamicLearning,6.517,9398.142,46.434,21083,271.003
CrawlerDynamicLearning,6.506,9453.249,46.619,20527,226.324
CrawlerDynamicLearning,6.505,9503.315,41.815,20820,285.518
CrawlerDynamicLearning,6.513,9552.658,41.113,20737,313.926
CrawlerDynamicLearning,6.500,9606.921,46.003,20713,267.881
CrawlerDynamicLearning,6.481,9659.427,44.266,20766,304.688
CrawlerDynamicLearning,6.500,9708.321,40.448,20514,312.417
CrawlerDynamicLearning,6.543,9761.595,44.797,20947,262.262
CrawlerDynamicLearning,6.466,9815.748,45.713,21012,170.021
CrawlerDynamicLearning,6.501,9868.671,44.508,20682,335.362
CrawlerDynamicLearning,6.554,9917.920,40.937,20391,302.832
CrawlerDynamicLearning,6.543,9967.598,41.589,21180,207.066
CrawlerDynamicLearning,6.508,10015.500,39.718,20296,147.027
CrawlerDynamicLearning,6.537,10067.823,43.921,20718,188.177
CrawlerDynamicLearning,6.481,10122.531,46.223,20501,298.497
CrawlerDynamicLearning,6.528,10172.938,42.084,20626,228.315
CrawlerDynamicLearning,6.533,10220.959,39.807,20266,247.028
CrawlerDynamicLearning,6.516,10271.593,42.351,20987,260.494
CrawlerDynamicLearning,6.513,10324.462,44.548,20370,306.846
CrawlerDynamicLearning,6.506,10382.317,49.432,21235,311.140
CrawlerDynamicLearning,6.493,10424.498,34.216,21048,326.456
CrawlerDynamicLearning,6.537,10478.223,45.257,20555,247.294
CrawlerDynamicLearning,6.547,10533.956,47.141,20622,271.192
CrawlerDynamicLearning,6.490,10582.463,40.344,20806,243.781
CrawlerDynamicLearning,6.489,10633.794,43.042,20491,293.643
CrawlerDynamicLearning,6.521,10690.196,47.929,21145,360.016
CrawlerDynamicLearning,6.503,10743.156,44.579,20625,389.935
CrawlerDynamicLearning,6.488,10793.589,42.127,20410,306.334
CrawlerDynamicLearning,6.482,10842.419,40.638,20638,254.830
CrawlerDynamicLearning,6.491,10891.382,40.725,20774,293.893
