Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
CrawlerDynamicLearning,6.376,2809.591,21.336,20476,198.130
CrawlerDynamicLearning,6.391,2838.289,21.426,20813,218.023
CrawlerDynamicLearning,6.389,2869.396,23.735,21196,257.411
CrawlerDynamicLearning,6.412,2896.644,20.010,21111,232.325
CrawlerDynamicLearning,6.361,2927.642,23.663,20828,206.319
CrawlerDynamicLearning,6.384,2956.502,21.603,21078,229.319
CrawlerDynamicLearning,6.388,2986.143,22.360,20630,272.714
CrawlerDynamicLearning,6.399,3016.204,22.748,20996,225.721
CrawlerDynamicLearning,6.460,3045.461,21.857,20618,309.741
CrawlerDynamicLearning,6.350,3072.431,19.804,20445,250.611
CrawlerDynamicLearning,6.334,3102.854,23.112,20904,188.678
CrawlerDynamicLearning,6.316,3130.890,20.880,20467,221.652
CrawlerDynamicLearning,6.368,3161.662,23.491,21037,235.724
CrawlerDynamicLearning,6.422,3190.137,21.217,20940,259.476
CrawlerDynamicLearning,6.381,3222.245,24.712,21125,199.346
CrawlerDynamicLearning,6.358,3249.074,19.665,20527,254.276
CrawlerDynamicLearning,6.489,3278.671,22.206,20649,263.179
CrawlerDynamicLearning,6.369,3307.118,21.211,20948,247.533
CrawlerDynamicLearning,6.362,3337.945,23.506,21103,212.247
CrawlerDynamicLearning,6.376,3367.555,22.147,20448,226.718
CrawlerDynamicLearning,6.381,3397.479,22.585,20758,232.704
CrawlerDynamicLearning,6.342,3427.384,22.637,20691,272.310
CrawlerDynamicLearning,6.378,3455.313,20.701,20355,277.243
CrawlerDynamicLearning,6.305,3484.299,21.777,20434,245.472
CrawlerDynamicLearning,6.353,3512.770,21.225,20320,277.218
CrawlerDynamicLearning,6.374,3539.456,19.527,20257,286.423
CrawlerDynamicLearning,6.391,3570.554,23.722,20838,280.874
CrawlerDynamicLearning,6.343,3599.980,22.200,20770,284.746
CrawlerDynamicLearning,6.395,3630.868,23.480,21121,265.543
CrawlerDynamicLearning,6.363,3656.973,18.920,20369,291.041
CrawlerDynamicLearning,6.352,3688.866,24.530,21233,223.934
CrawlerDynamicLearning,6.367,3716.205,20.128,20642,285.176
CrawlerDynamicLearning,6.386,3748.925,25.304,20945,255.617
