Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
CrawlerDynamicLearning,4.697,2388.109,15.696,20625,147.919
CrawlerDynamicLearning,4.684,2411.676,17.867,20440,176.853
CrawlerDynamicLearning,4.700,2433.997,16.656,20384,199.399
CrawlerDynamicLearning,4.728,2457.512,17.758,20392,208.569
CrawlerDynamicLearning,4.745,2479.079,15.999,20586,190.740
CrawlerDynamicLearning,4.713,2503.189,18.401,20555,186.715
CrawlerDynamicLearning,4.699,2524.885,16.089,20548,177.894
CrawlerDynamicLearning,4.706,2549.738,19.056,20808,224.188
CrawlerDynamicLearning,4.711,2572.541,17.106,20363,213.166
CrawlerDynamicLearning,4.701,2594.651,16.467,20832,186.904
CrawlerDynamicLearning,4.715,2619.816,19.338,21107,253.273
CrawlerDynamicLearning,4.692,2641.180,15.782,20537,184.161
CrawlerDynamicLearning,4.709,2666.224,19.218,20730,150.430
CrawlerDynamicLearning,4.703,2688.415,16.558,20336,193.805
CrawlerDynamicLearning,4.726,2710.690,16.620,20455,175.458
CrawlerDynamicLearning,4.698,2733.757,17.375,20630,201.150
CrawlerDynamicLearning,4.693,2756.269,16.894,20413,206.242
CrawlerDynamicLearning,4.693,2779.155,17.215,20455,182.021
CrawlerDynamicLearning,4.694,2802.939,18.075,20322,182.261
CrawlerDynamicLearning,4.709,2825.784,16.970,20605,161.752
CrawlerDynamicLearning,4.680,2848.131,16.723,20532,195.106
CrawlerDynamicLearning,4.697,2871.677,17.868,20945,210.243
CrawlerDynamicLearning,4.705,2895.747,18.346,20342,173.696
CrawlerDynamicLearning,4.690,2918.073,16.681,20456,170.005
CrawlerDynamicLearning,4.682,2943.428,19.542,20314,209.400
CrawlerDynamicLearning,4.707,2963.684,14.705,20584,253.831
CrawlerDynamicLearning,4.730,2988.139,18.663,20520,236.041
CrawlerDynamicLearning,4.732,3010.307,16.528,20669,229.202
CrawlerDynamicLearning,4.699,3033.314,17.336,20798,263.406
CrawlerDynamicLearning,4.723,3056.480,17.474,20961,207.449
CrawlerDynamicLearning,4.679,3081.104,18.852,20325,218.222
CrawlerDynamicLearning,4.757,3103.721,16.887,21229,270.386
CrawlerDynamicLearning,4.690,3127.368,17.966,20695,211.697
CrawlerDynamicLearning,4.672,3149.360,16.395,20252,222.935
CrawlerDynamicLearning,4.716,3174.335,19.177,20547,266.479
CrawlerDynamicLearning,4.696,3196.723,16.757,20992,226.892
CrawlerDynamicLearning,4.670,3218.678,16.365,20298,229.104
CrawlerDynamicLearning,4.668,3241.812,17.483,20648,202.993
CrawlerDynamicLearning,4.692,3266.779,19.160,20845,221.794
CrawlerDynamicLearning,4.681,3290.197,17.742,20914,245.810
CrawlerDynamicLearning,4.908,3312.539,16.502,20303,247.037
CrawlerDynamicLearning,4.741,3334.358,16.133,21196,227.615
CrawlerDynamicLearning,4.697,3358.371,18.255,20304,204.164
CrawlerDynamicLearning,4.704,3381.701,17.639,20980,261.372
CrawlerDynamicLearning,4.706,3404.146,16.775,20790,205.421
CrawlerDynamicLearning,4.706,3428.987,19.041,20970,256.424
CrawlerDynamicLearning,4.718,3451.259,16.619,20796,265.080
CrawlerDynamicLearning,4.726,3477.249,20.143,21141,272.886
CrawlerDynamicLearning,4.697,3498.385,15.359,20691,260.368
CrawlerDynamicLearning,4.717,3521.962,17.825,20889,304.836
CrawlerDynamicLearning,4.718,3543.931,16.338,20278,258.028
CrawlerDynamicLearning,4.711,3567.424,17.775,20851,215.100
CrawlerDynamicLearning,4.704,3590.994,17.869,20358,269.172
CrawlerDynamicLearning,4.708,3613.557,16.883,20988,276.551
CrawlerDynamicLearning,4.692,3637.347,18.104,20489,261.288
CrawlerDynamicLearning,4.683,3659.410,16.438,20906,256.583
CrawlerDynamicLearning,4.719,3684.948,19.719,21012,265.623
CrawlerDynamicLearning,4.706,3707.876,17.228,20828,289.363
CrawlerDynamicLearning,4.728,3732.078,18.394,20857,273.034
CrawlerDynamicLearning,4.702,3755.159,17.392,20267,254.859
CrawlerDynamicLearning,4.718,3775.078,14.409,20340,272.310
CrawlerDynamicLearning,4.738,3799.222,18.396,20897,301.169
CrawlerDynamicLearning,4.700,3823.115,18.154,21064,282.919
CrawlerDynamicLearning,4.718,3847.300,18.436,20703,288.786
CrawlerDynamicLearning,4.712,3869.453,16.512,20714,325.490
CrawlerDynamicLearning,4.677,3893.389,18.199,20274,241.990
CrawlerDynamicLearning,4.700,3916.371,17.291,20677,302.371
CrawlerDynamicLearning,4.718,3937.497,15.537,21205,232.383
CrawlerDynamicLearning,4.707,3963.083,19.747,21146,257.435
CrawlerDynamicLearning,4.699,3985.921,17.180,21049,254.392
CrawlerDynamicLearning,4.699,4010.492,18.819,20832,250.360
CrawlerDynamicLearning,4.700,4033.389,17.226,20687,301.387
CrawlerDynamicLearning,4.718,4055.485,16.453,20726,229.620
CrawlerDynamicLearning,4.769,4078.710,17.466,20538,258.704
CrawlerDynamicLearning,4.746,4102.916,18.410,21073,250.503
CrawlerDynamicLearning,4.736,4126.417,17.761,20691,293.546
CrawlerDynamicLearning,4.691,4149.556,17.482,20513,282.343
CrawlerDynamicLearning,4.719,4172.440,16.992,20243,255.098
CrawlerDynamicLearning,4.709,4193.222,15.221,20338,234.258
CrawlerDynamicLearning,4.709,4218.484,19.468,20776,296.614
CrawlerDynamicLearning,4.726,4239.582,15.516,20660,265.765
CrawlerDynamicLearning,4.703,4265.091,19.677,20558,243.981
CrawlerDynamicLearning,4.727,4287.057,16.296,21088,247.283
CrawlerDynamicLearning,4.705,4309.653,16.919,20430,259.946
CrawlerDynamicLearning,4.719,4334.104,18.685,20528,288.317
CrawlerDynamicLearning,4.710,4356.841,17.033,20791,268.756
CrawlerDynamicLearning,4.706,4381.205,18.590,20485,315.125
CrawlerDynamicLearning,4.707,4402.435,15.632,20497,331.575
CrawlerDynamicLearning,4.718,4425.998,17.868,20714,287.289
CrawlerDynamicLearning,4.722,4449.969,18.182,20830,304.138
CrawlerDynamicLearning,4.737,4473.165,17.467,20954,279.886
CrawlerDynamicLearning,4.700,4494.800,16.064,20285,284.403
CrawlerDynamicLearning,4.721,4519.399,18.802,20848,266.280
CrawlerDynamicLearning,4.707,4543.014,17.904,20642,283.468
CrawlerDynamicLearning,4.698,4565.249,16.629,20503,297.054
CrawlerDynamicLearning,4.698,4588.432,17.488,20902,301.142
CrawlerDynamicLearning,4.680,4612.184,18.065,20442,339.373
CrawlerDynamicLearning,4.675,4634.754,16.927,20614,295.885
CrawlerDynamicLearning,4.676,4658.973,18.505,20264,304.639
CrawlerDynamicLearning,4.732,4680.371,15.784,21017,333.560
CrawlerDynamicLearning,4.730,4704.813,18.644,20349,325.378
CrawlerDynamicLearning,4.712,4726.958,16.533,21024,362.413
CrawlerDynamicLearning,4.705,4748.656,16.075,20242,374.835
CrawlerDynamicLearning,4.731,4773.874,19.385,20714,292.897
CrawlerDynamicLearning,4.731,4798.456,18.778,21030,311.733
CrawlerDynamicLearning,4.730,4820.014,15.940,20862,373.444
CrawlerDynamicLearning,4.701,4843.863,17.960,21005,295.643
CrawlerDynamicLearning,4.706,4867.630,18.040,20457,364.366
CrawlerDynamicLearning,4.705,4889.708,16.400,20957,374.291
CrawlerDynamicLearning,4.717,4914.786,19.283,20558,322.769
CrawlerDynamicLearning,4.701,4935.263,14.904,20694,366.345
CrawlerDynamicLearning,4.701,4958.801,17.839,20393,379.404
CrawlerDynamicLearning,4.699,4980.928,16.511,20264,326.061
CrawlerDynamicLearning,4.717,5004.577,17.932,20308,288.160
CrawlerDynamicLearning,4.688,5027.222,16.972,20340,317.756
CrawlerDynamicLearning,4.704,5048.923,16.082,20518,387.956
CrawlerDynamicLearning,4.688,5072.770,18.134,20872,264.001
CrawlerDynamicLearning,4.694,5096.028,17.572,20339,366.069
CrawlerDynamicLearning,4.739,5119.490,17.705,20715,326.921
CrawlerDynamicLearning,4.720,5142.905,17.678,20898,308.309
CrawlerDynamicLearning,4.711,5166.327,17.719,20695,324.529
CrawlerDynamicLearning,4.689,5189.199,17.204,20587,384.330
CrawlerDynamicLearning,4.662,5212.065,17.243,20270,348.646
CrawlerDynamicLearning,4.708,5235.005,17.216,20691,362.365
CrawlerDynamicLearning,4.710,5258.971,18.254,20301,360.793
CrawlerDynamicLearning,4.698,5280.371,15.778,20462,376.817
CrawlerDynamicLearning,4.707,5304.537,18.425,21001,363.132
CrawlerDynamicLearning,4.708,5328.562,18.282,21145,369.364
CrawlerDynamicLearning,4.722,5351.936,17.668,21134,355.041
CrawlerDynamicLearning,4.702,5374.010,16.480,20692,356.557
CrawlerDynamicLearning,4.741,5398.476,18.652,21047,384.341
CrawlerDynamicLearning,4.702,5421.708,17.565,20310,410.389
CrawlerDynamicLearning,4.735,5446.275,18.773,20793,351.818
CrawlerDynamicLearning,4.718,5467.457,15.581,20960,356.484
CrawlerDynamicLearning,4.705,5492.594,19.328,21215,317.528
CrawlerDynamicLearning,4.694,5514.666,16.255,20529,342.660
CrawlerDynamicLearning,4.698,5538.343,17.962,20355,400.534
CrawlerDynamicLearning,4.730,5561.312,17.262,20322,346.214
CrawlerDynamicLearning,4.713,5583.614,16.648,20985,357.744
CrawlerDynamicLearning,4.727,5607.656,18.272,20703,389.221
CrawlerDynamicLearning,4.731,5631.764,18.349,21103,356.815
CrawlerDynamicLearning,4.715,5655.911,18.391,21158,406.344
CrawlerDynamicLearning,4.714,5679.722,18.095,20894,393.696
CrawlerDynamicLearning,4.721,5702.042,16.688,20999,404.736
CrawlerDynamicLearning,4.734,5725.137,17.376,20492,347.594
CrawlerDynamicLearning,4.713,5750.650,19.695,21043,365.151
CrawlerDynamicLearning,4.722,5773.304,16.954,20859,389.828
CrawlerDynamicLearning,4.736,5795.017,16.078,20468,409.297
CrawlerDynamicLearning,4.732,5817.698,16.976,20732,350.437
CrawlerDynamicLearning,4.738,5841.127,17.682,20799,365.893
CrawlerDynamicLearning,4.727,5866.131,19.199,20985,304.292
CrawlerDynamicLearning,4.730,5889.033,17.193,21208,398.697
CrawlerDynamicLearning,4.706,5912.309,17.576,20535,314.411
CrawlerDynamicLearning,4.734,5934.541,16.529,21185,306.164
CrawlerDynamicLearning,4.722,5958.378,18.082,20320,368.501
CrawlerDynamicLearning,4.700,5982.593,18.452,20474,417.101
CrawlerDynamicLearning,4.696,6006.260,17.954,20795,345.623
CrawlerDynamicLearning,4.692,6027.986,16.124,20558,338.388
CrawlerDynamicLearning,4.760,6051.303,17.549,20973,386.723
CrawlerDynamicLearning,4.730,6073.163,16.209,20281,315.569
CrawlerDynamicLearning,4.733,6097.361,18.414,20787,359.462
CrawlerDynamicLearning,4.696,6121.437,18.324,20411,448.489
CrawlerDynamicLearning,4.742,6144.181,17.054,21239,362.821
CrawlerDynamicLearning,4.701,6168.472,18.334,20330,380.849
CrawlerDynamicLearning,4.704,6189.881,15.794,20349,409.424
